rodada,data,hora,local,casa,fora,gols_casa,gols_fora
26,30/09/2017,19:00,Allianz Parque - Sao Paulo - SP,PAL,SAN,0,1
26,01/10/2017,16:00,Nilton Santos - Rio de Janeiro - RJ,BOT,VIT,2,3
26,01/10/2017,16:00,Morumbi - Sao Paulo - SP,SAO,SPO,1,0
26,01/10/2017,16:00,Mineirão - Belo Horizonte - MG,CRU,COR,1,1
26,01/10/2017,16:00,Ressacada - Florianopolis - SC,AVA,ATL,0,2
26,01/10/2017,16:00,Arena do Grêmio - Porto Alegre - RS,GRE,FLU,1,0
26,01/10/2017,19:00,Arena da Baixada - Curitiba - PR,ATL,ATL,0,2
26,02/10/2017,20:00,Moisés Lucarelli - Campinas - SP,PON,FLA,1,0
27,11/10/2017,19:30,Nilton Santos - Rio de Janeiro - RJ,BOT,CHA,2,1
27,11/10/2017,19:30,Arena da Baixada - Curitiba - PR,ATL,ATL,2,2
27,11/10/2017,21:00,Arena Corinthians - Sao Paulo - SP,COR,COR,3,1
27,11/10/2017,21:45,Independência - Belo Horizonte - MG,ATL,SAO,1,0
27,11/10/2017,21:45,Arena do Grêmio - Porto Alegre - RS,GRE,CRU,0,1
27,11/10/2017,21:45,Ressacada - Florianopolis - SC,AVA,VAS,1,2
27,12/10/2017,17:00,Maracanã - Rio de Janeiro - RJ,FLA,FLU,1,1
27,12/10/2017,17:00,Manoel Barradas - Salvador - BA,VIT,SPO,1,2
27,12/10/2017,17:00,Moisés Lucarelli - Campinas - SP,PON,SAN,1,1
27,12/10/2017,21:00,Pacaembu - Sao Paulo - SP,PAL,BAH,2,2
28,07/10/2017,16:00,Mineirão - Belo Horizonte - MG,CRU,PON,2,1
28,14/10/2017,19:00,Maracanã - Rio de Janeiro - RJ,VAS,BOT,1,0
28,14/10/2017,21:00,Pacaembu - Sao Paulo - SP,SAO,ATL,2,1
28,15/10/2017,17:00,Maracanã - Rio de Janeiro - RJ,FLU,AVA,1,0
28,15/10/2017,17:00,Ilha do Retiro - Recife - PE,SPO,ATL,1,1
28,15/10/2017,17:00,Olímpico Pedro Ludovico - Goiania - GO,ATL,PAL,1,3
28,15/10/2017,17:00,Arena Condá - Chapeco - SC,CHA,FLA,0,1
28,15/10/2017,19:00,Couto Pereira - Curitiba - PR,COR,GRE,0,1
28,15/10/2017,19:00,Arena Fonte Nova - Salvador - BA,BAH,COR,2,0
28,16/10/2017,20:00,Pacaembu - Sao Paulo - SP,SAN,VIT,2,2
29,18/10/2017,19:30,Serra Dourada - Goiania - GO,ATL,VAS,0,1
29,18/10/2017,19:30,Couto Pereira - Curitiba - PR,COR,CRU,1,0
29,18/10/2017,21:00,Independência - Belo Horizonte - MG,ATL,CHA,2,3
29,18/10/2017,21:45,Ressacada - Florianopolis - SC,AVA,BOT,1,1
29,18/10/2017,21:45,Maracanã - Rio de Janeiro - RJ,FLU,SAO,3,1
29,18/10/2017,21:45,Arena Corinthians - Sao Paulo - SP,COR,GRE,0,0
29,19/10/2017,20:00,Pacaembu - Sao Paulo - SP,PAL,PON,2,0
29,19/10/2017,20:00,Manoel Barradas - Salvador - BA,VIT,ATL,2,3
29,19/10/2017,21:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,BAH,4,1
29,19/10/2017,21:00,Ilha do Retiro - Recife - PE,SPO,SAN,1,1
30,21/10/2017,17:00,Maracanã - Rio de Janeiro - RJ,VAS,COR,1,1
30,22/10/2017,17:00,Arena da Baixada - Curitiba - PR,ATL,SPO,2,1
30,22/10/2017,17:00,Pacaembu - Sao Paulo - SP,SAO,FLA,2,0
30,22/10/2017,17:00,Mineirão - Belo Horizonte - MG,CRU,ATL,1,3
30,22/10/2017,17:00,Arena do Grêmio - Porto Alegre - RS,GRE,PAL,1,3
30,22/10/2017,17:00,Arena Fonte Nova - Salvador - BA,BAH,VIT,2,1
